"Curso_ID","Grado","Sección","Jornada","Máx. estudiantes"
"1","1","A","Mañana (7:00-12:00)","26"
"2","1","B","Mañana (7:00-12:00)","26"
"3","1","C","Mañana (7:00-12:00)","26"
"4","1","D","Tarde (13:00-18:00)","26"
"5","1","E","Tarde (13:00-18:00)","26"
"6","2","A","Mañana (7:00-12:00)","30"
"7","2","B","Mañana (7:00-12:00)","30"
"8","2","C","Mañana (7:00-12:00)","30"
"9","2","D","Tarde (13:00-18:00)","30"
"10","2","E","Tarde (13:00-18:00)","30"
"11","3","A","Mañana (7:00-12:00)","30"
"12","3","B","Mañana (7:00-12:00)","30"
"13","3","C","Mañana (7:00-12:00)","30"
"14","3","D","Tarde (13:00-18:00)","30"
"15","3","E","Tarde (13:00-18:00)","30"
"16","4","A","Mañana (7:00-12:00)","26"
"17","4","B","Mañana (7:00-12:00)","26"
"18","4","C","Mañana (7:00-12:00)","26"
"19","4","D","Tarde (13:00-18:00)","26"
"20","4","E","Tarde (13:00-18:00)","26"
"21","5","A","Mañana (7:00-12:00)","28"
"22","5","B","Mañana (7:00-12:00)","28"
"23","5","C","Mañana (7:00-12:00)","28"
"24","5","D","Tarde (13:00-18:00)","28"
"25","5","E","Tarde (13:00-18:00)","28"
"26","6","A","Mañana (7:00-12:00)","30"
"27","6","B","Mañana (7:00-12:00)","30"
"28","6","C","Tarde (13:00-18:00)","30"
"29","7","A","Mañana (7:00-12:00)","28"
"30","7","B","Mañana (7:00-12:00)","28"
"31","7","C","Tarde (13:00-18:00)","28"
"32","8","A","Mañana (7:00-12:00)","28"
"33","8","B","Tarde (13:00-18:00)","28"
"34","8","C","Tarde (13:00-18:00)","28"
"35","9","A","Mañana (7:00-12:00)","28"
"36","9","B","Tarde (13:00-18:00)","28"
"37","9","C","Tarde (13:00-18:00)","28"
"38","10","A","Mañana (7:00-12:00)","30"
"39","10","B","Mañana (7:00-12:00)","30"
"40","10","C","Mañana (7:00-12:00)","30"
"41","11","A","Mañana (7:00-12:00)","30"
"42","11","B","Mañana (7:00-12:00)","30"
