"Nivel","Materia","Responsable","Bloques_semana","Horas_semana"
"Primaria (1°–5°)","Matematicas","MAT-FIS","4","3"
"Primaria (1°–5°)","Espanol","ESP-ING","4","3"
"Primaria (1°–5°)","Ciencias Naturales","CIENCIAS","3","2.25"
"Primaria (1°–5°)","Ciencias Sociales","FLEX","1","0.75"
"Primaria (1°–5°)","Ingles","ESP-ING","1","0.75"
"Primaria (1°–5°)","Educacion Fisica","EDF-ETICA","2","1.5"
"Primaria (1°–5°)","Etica","EDF-ETICA","1","0.75"
"Primaria (1°–5°)","Informatica","FLEX","1","0.75"
"Primaria (1°–5°)","(biblioteca: Artística + 1 Ciencias Sociales + 1 Inglés)","Biblioteca (no docente)","—","—"
"Bachillerato (6°–10°)","Matematicas","MAT-FIS","3","2.25"
"Bachillerato (6°–10°)","Espanol","ESP-ING","3","2.25"
"Bachillerato (6°–10°)","Fisica","MAT-FIS","2","1.5"
"Bachillerato (6°–10°)","Quimica","CIENCIAS","2","1.5"
"Bachillerato (6°–10°)","Biologia","CIENCIAS","2","1.5"
"Bachillerato (6°–10°)","Ingles","ESP-ING","1","0.75"
"Bachillerato (6°–10°)","Educacion Fisica","EDF-ETICA","2","1.5"
"Bachillerato (6°–10°)","Ciencias Sociales","FLEX","1","0.75"
"Bachillerato (6°–10°)","Etica","EDF-ETICA","1","0.75"
"Bachillerato (6°–10°)","Informatica","FLEX","1","0.75"
"Bachillerato (6°–10°)","(biblioteca: Proyecto/Refuerzo + 1 Inglés)","Biblioteca (no docente)","—","—"
"Grado 11°","Matematicas","MAT-FIS","3","2.25"
"Grado 11°","Espanol","ESP-ING","3","2.25"
"Grado 11°","Fisica","MAT-FIS","2","1.5"
"Grado 11°","Quimica","CIENCIAS","2","1.5"
"Grado 11°","Biologia","CIENCIAS","2","1.5"
"Grado 11°","Ingles","ESP-ING","1","0.75"
"Grado 11°","Educacion Fisica","EDF-ETICA","2","1.5"
"Grado 11°","Etica","EDF-ETICA","1","0.75"
"Grado 11°","Informatica","FLEX","1","0.75"
"Grado 11°","Filosofia","FLEX","1","0.75"
"Grado 11°","(biblioteca: Proyecto/Refuerzo + 1 Inglés)","Biblioteca (no docente)","—","—"
